title,artist,comments,url
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,"SG
SKIP NAVIGATION
SIGN IN
NORWEGIAN WOOD
1,289,190 views
7.8K
DISLIKE
SHARE
SAVE
Bobit de guzman
23.6K subscribers
SUBSCRIBE
This is originally a song by THE BEATLES. I started recording covers of my favorite songs & making videos with lyrics just to have a guide with precise timing of lyrics to the music for practice purposes. This is for sole purpose of entertainment; no profit is gained from this. It is the copyrighted property of its respective owner(s).
SHOW MORE
560 Comments
SORT BY
Add a comment...
Chanag nyangar
2 years ago
I was 37 then, strapped in my seat as the huge 747 plunged through dense cloud cover on approach to Hamburg airport. Cold November rains drenched the earth, lending everything the gloomy air of a Flemish landscape: the ground crew in waterproofs, a flag atop a squat airport building, a BMW billboard. So - Germany again. Once the plane was on the ground, soft music began to flow from the ceiling speakers: a sweet orchestral cover version of the Beatles' ""Norwegian Wood"". The melody never failed to send a shudder through me, but this time it hit me harder than ever.
Read more
574
REPLY
View 11 replies
Niharika Gaharwar
1 year ago
Fun fact : they produce this song after visiting to India and you can feel Indian touch in this music  
194
REPLY
View 6 replies
Ahmed Tofu
1 year ago
I think most of the people here after reading one of Murakami's greatest work.
1.6K
REPLY
View 95 replies
vishal
5 years ago
this is a excellent fusion of western and ancient indian music..
what you hear is santoor music ...
santoor is 4 th century indian music instrument..
appreciate it lads..
197
REPLY
View 3 replies
Lineline
1 year ago
Hearing this song after finishing haruki murakami's Norweigan wood would never be the same as the time i listen to it the first time it was mentioned in the book. You'll close your eyes and see Watanabe, Naoko and reiko playing her guitar.  
Read more
59
REPLY
Mekhla Biswas
5 years ago
Great book, Murakami!! I love ""Norwegian Wood""!
Midori!!!! ️
174
REPLY
View reply
Madhurjya
8 months ago
I was not feeling well. I started reading Norwigian Wood. I feel enlightened now. Such great author Murakami is. Beautiful book.
24
REPLY
Sea Hawks
5 years ago (edited)
The thing I always hated about this song is that it is way too short. I Wish it was way longer. =..(
107
REPLY
View 4 replies
Kei Tazaki
6 years ago
Murakami is one superb author. My curiosity with his words brought me here.
152
REPLY
Nafis Afsan Ali
1 year ago (edited)
Just completed the book and brooding over this song over and over again while re reading the book. Murakami is a genius for he can make you feel whatever he wants you to feel even if you  have no intention of feeling so. A mark of a great author
20
REPLY
Solidarity Light
1 year ago
Murakami's Norwegian Wood and this song is a perfect combination to emerge some nostalgic vibes! A timeless gem indeed!
12
REPLY
Soumya Das Gupta
3 months ago
Some books are like a portal, like you can almost step through it and be one with the characters. This book is one such. Whenever I think of Naoko, Toru, and Midori, I feel myself the fourth one lingering someplace close, very near, to their place...
13
REPLY
Anindya Chakraborty
2 years ago
I have started to read ""Norwegian Wood' by Haruki Murakami today . Then I thought to listen this song once , now I can relate this song with a particular scene with this song heavily . 
I like the writing . 
27
REPLY
Richard W
6 months ago
To the Beatles just another song from another album and to us it’s a beautiful masterpiece.
9
REPLY
Mohsin Kazi
5 years ago
I read the first paragraph of Norvegian wood , and I knew I had to hear this first
188
REPLY
View 6 replies
Anushree Basu Bhalla
4 years ago
Here because I lived my life vicariously through Toru and Naoko for about a week. Can't get this tune out of my head now
27
REPLY
Naima Salah
2 weeks ago
I was reading Norwegian wood and i tell my self let me listen to the song. And i loved the novel and the song . I'm glad i read it.
2
REPLY
Min Yar Zar
1 year ago
Am i the only one who come to listen this beautiful song because of a book named ''Norwegian Wood'"" by Haruki Murakami?
8
REPLY
View reply
TheChinook
5 years ago
I have the original and when I heard this I actually looked at which one I selected but was pleasantly surprised. The lead in notes with the sitar were soooo good! Amazing and well done, thank you!!
8
REPLY
Aradhita Agarwal
5 years ago
here because of murakami :)
1.6K
REPLY
View 53 replies
Kyi Lae
7 months ago
After reading one of the greatest books, I came to hear to listen to this legendary song.
4
REPLY
Jeeya Shakya
1 year ago
This song finally made it to a million views ️... The connection between my soul and this song is out of this world.
4
REPLY
NC Scratch 2 Win
1 year ago
My first day in Kaiserslaurten West Germany, I was young and on my own exploring the city,  a young American soldier. 
Its started snowing heavily and I ventured into a bar to get out of the cold. 
An older lady came to sit with me and asked if I was going to buy her a drink. After a couple of local beers and 2 very expensive glasses of champagne,  she gently place her palm on my thigh and squeezed as she explained to me that I could buy her time also,  in Deutsch or American currency. 
Read more
14
REPLY
Jeeya Shakya
1 year ago
I love this song more than the original one tbh.... This song is my home. It sweeps me away into a different world.
And congrats  this song finally hit a million views.
3
REPLY
Amisha Rajput
1 year ago
Now I understand the connection between the ending of this song and the ending of book Norwegian wood ️
4
REPLY
Guess_Who_I_Am
1 year ago
Live and dead with love. I am still able to feel the atmosphere of the places where Watanabe, Naoko and Midori lived here in Japan. He did the great work.
10
REPLY
M
11 months ago
Is it bad that I finished the book (Norwegian Woods) in one sitting? I couldn't put it down!
5
REPLY
View 4 replies
Max-Andrew McMillan
6 years ago
love it, well done.
5
REPLY
View 2 replies
Joy Chatterjee
6 years ago
Superb!!!!!!!!!!!! Beautifully sung.......Couldn't be better!!!!!!!!!!!!!! Well done, Bobit
4
REPLY
View reply
_M.u.r.a.s.a.k.i_
4 years ago
Gracias Murakami, porque gracias a que te han leído, mucha gente (me incluyo) nos abrimos a ésta grandiosa música. 
He de aceptar, que nunca me llamó la atención The Beatles, y siempre decía ""Qué flojera"". Pero me retracto.
2
REPLY
Neha Sharma
1 year ago
This song surely enhances the beauty of the book!
3
REPLY
Robert Beattie
1 month ago
Don't know why this popped-up in my YouTube feed, but I'm glad it did. And I'm grateful to you for posting your cover. Triggered a memory from 1974, when I finished writing my first novel. I worked until 1:23 am at Cessna Aircraft Company Factory Prospect Plant. Typically, I'd be home and start writing in my garage around 3 AM, write until 6 AM. Typewriter clackity-clacking was noisy, so I couldn't type in the house while the rest of the family was sleeping. On my way home one night I bought an album of Beatles songs and played it on an adjacent phonograph while I was at my typewriter. (Yes, we had 24-hour stores in 1974, even in Wichita, Kansas.) The album stuck on Norwegian Wood, so I'd hear Norwegian Wood over and over and over. Sometimes I'd reach over and move the needle, but not often. (And yes, commerce was commerce and they sold all manner of variations of Beatles songs in compilations. I recall that I bought this one because it had Paperback Writer, even though I ended up listening mostly to Norwegian Wood.) Eventually I became a paperback writer. Robert Beattie, New York Times bestselling author.
Read more
1
REPLY
Nusrat Meem
3 years ago (edited)
what an amazing cover!!! people who disliked this song are demons :/
4
REPLY
Sujay Subham
3 months ago
Every time I hear this song,my heart melts️️
1
REPLY
Irchades Facuze
1 year ago
I'm proud to say here that I'm here because I simply love the song
8
REPLY
Neese dla Crz
2 years ago
nice cover. cool voice. love this song. I played it many times just to make it long.
3
REPLY
🎵Dj Soniques Retro Stop Off 🎵
9 months ago
Nice cover of a song i love very much
1
REPLY
Debmalya Bandyopadhyay
5 years ago
anyone else in love with Naoko?
585
REPLY
View 43 replies
Nisha Silwal
6 months ago
Masterpiece ...
3
REPLY
rogb rogb
2 years ago
Very good version of the song!
2
REPLY
2:05
Norwegian Wood (This Bird Has Flown)
The Beatles
18M views
3 years ago
2:46
Peter Frampton - Norwegian Wood | Very Rare
theSilverGame3
420K views
13 years ago
2:31
And I Love Her - Beatles (Aesthetic Lyrics)
Lyric Hub
355K views
1 year ago
8:17
Episode 32 - The Ending of Norwegian Wood Explained
Abstract AF
12K views
11 months ago
2:37
Norwegian Wood (acoustic Beatles cover) - Mike Masse and Jeff Hall
Mike Massé
514K views
13 years ago
2:18
The Beatles - We Can Work it Out
The Beatles
110M views
6 years ago
4:42
The Beatles - WHILE MY GUITAR GENTLY WEEPS (Music Video) | Subtitulado en ESPAÑOL & LYRICS
Galactico4646
3.9M views
2 years ago
27:29
THE BEATLES BEST PERFORMANCE EVER
YOU ROCK
2.5M views
9 months ago
6:16
Pianist SHOCKS Audience With Moonlight Sonata Dubstep Remix
MusicalBasics
5.6M views
1 month ago
3:16
The Beatles - Norwegian Wood (Cover)
Siddhant Borawake
181K views
3 years ago
7:16
Ringo Starr - Norwegian Wood 2011 - part 1
eikerkongen
76K views
10 years ago
4:47
Colin Hay - Norwegian Wood (Rolling Stone RS Live - June 20th 2011)
ColinHay.com.br
1M views
10 years ago
3:10
Here comes the sun with lyrics The Beatles
Lyrics Awesome
3M views
3 years ago
20:58
7 super common chord progressions and why they work
David Bennett Piano
602K views
4 weeks ago
2:05
Norwegian Wood
The Analogues
395K views
5 years ago
2:12
The Beatles - Eleanor Rigby (From ""Yellow Submarine"")
The Beatles
61M views
5 years ago
14:49
Norwegian Wood Guitar Lesson | The Beatles
JustinGuitar Songs
1.3M views
9 years ago
3:44
Paul McCartney - The Long And Winding Road
raspberryyy
1.7M views
13 years ago
5:32
Norwegian Wood ,Piano Cover by Manos Kitsikopoulos, @Athens Megaron
Manos Kitsikopoulos
5.1K views
3 years ago
3:36
lucy in the sky with diamonds- The beatles | Lyrics
Cesar Kerr RG
2.7M views
5 years ago
4:07
The Song & Story behind ""Norwegian Wood"" (The Beatles)
Listen Ink
9.9K views
1 year ago
Mix - NORWEGIAN WOOD
YouTube
3:59
Don McLean - Vincent ( Starry, Starry Night) With Lyrics
wysty67
57M views
12 years ago
1:48
Norwegian Wood - Official Trailer
Nonesuch Records
1.2M views
11 years ago
2:49
The Beatles - Norwegian Wood / Demo (1965)
Beatles Bootlegs
1.5M views
5 years ago
5:13
The Beatles - A Day In The Life
The Beatles
134M views
6 years ago
4:36
Hey Jude - THE BEATLES (Lyrics)
Migs Villamor
19M views
2 years ago
1:12:31
Oldies Dust in the Wind
Love Songs & Memories
1.3M views
9 months ago
3:36
The Beatles - While My Guitar Gently Weeps
The Beatles
64M views
5 years ago
3:19
John Denver - Take Me Home, Country Roads (Audio)
John Denver
431M views
9 years ago
2:38
Norwegian Wood - The Beatles (A cover by Sophia Ng)
Sophia Ng Min 黃敏
56K views
3 years ago
2:15
Norwegian Wood (This Bird Has Flown) - The Beatles (subtitulada al español)
lovelylennon
23K views
9 months ago
28
Битлз лучшие песни
Павел Никонов. Kaz
6:30
Eric Clapton - Layla (Live)
Eric Clapton
96M views
5 years ago
2:19
Norwegian Wood Karaoke The Beatles - You Sing The Hits
YouSingTheHits
574K views
10 years ago
1:00:37
Best The Beatles Songs Collection - The Beatles Greatest Hits Full Album 2021
Music Que
3.5M views
1 year ago
13:29
The Beatles NORWEGIAN WOOD Guitar Lesson - 3 Levels of Difficulty
Andy Guitar
51K views
1 year ago
4:00
Bee Gees - How Deep Is Your Love (Official Video)
beegees
451M views
12 years ago
2:33
Blackbird - The Beatles tribute - Lyrics
lyrics2stream
666K views
6 years ago
2:41
The Beatles Across The Universe 1969 RARE
Eduardo Vassoler
149K views
1 year ago
2:12
The Beatles - Norwegian Wood Live
Bob E
5.8K views
4 years ago
8:39
The Beatles Norwegian Wood (This Bird Has Flown) Guitar Lesson + Tutorial
Marty Music
292K views
2 years ago
8:10
The Beatles - Hey Jude
The Beatles
316M views
6 years ago
4:51
Never Ending Sky - Calum Graham - Acoustic Guitar
Calum Graham Music
12K views
7 days ago
3:59
Simon & Garfunkel - The Sound of Silence (from The Concert in Central Park)
Simon & Garfunkel
101M views
6 years ago
IMAGINE. (Ultimate Mix, 2020) - John Lennon & The Plastic Ono Band (with the Flux Fiddlers) HD
johnlennon
251M views
5 years ago
The Beatles - Norwegian Wood Take 3 Acoustic - Is This the Lost Take?
Amnestyviahuh
530K views
11 years ago
The Beatles - Free As A Bird
The Beatles
27M views
6 years ago
Paul McCartney Breaks Down His Most Iconic Songs | GQ
GQ
10M views
3 years ago
How The Beatles Made ""Norwegian Wood""
The HollyHobs
258K views
3 years ago
Mix - The Beatles
YouTube
LYRICS I ME MINE - THE BEATLES | VOCAL : GEORGE HARRISON 1970
sing a song tune
10K views
2 years ago
Yesterday (With Spoken Word Intro / Live From Studio 50, New York City / 1965)
The Beatles
53M views
4 years ago
Norwegian Wood Guitar Tutorial The Beatles Guitar Lesson + Chords
GuitarZero2Hero
77K views
1 year ago
Michelle (Remastered 2009)
The Beatles
23M views
3 years ago
Norwegian Wood by Haruki Murakami // Review and Discussion
Christy Anne Jones
92K views
5 years ago
Norwegian Wood || The Beatles (Lyrics)
BumbleGUM
8.7K views
9 months ago
Paul McCartney - Unplugged Mtv 1991 HD
Nico Grimaldi
654K views
1 year ago
(Ghost) Riders In the Sky (American Outlaws: Live at Nassau Coliseum, 1990)
The Highwaymen
42M views
2 years ago
The Beatles - Two of Us (Cover by FETCHER)
Goctagon
68K views
4 years ago",https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,This is originally a song by THE BEATLES. I started recording covers of my favorite songs & making videos with lyrics just to have a guide with precise timing of lyrics to the music for practice purposes. This is for sole purpose of entertainment; no profit is gained from this. It is the copyrighted property of its respective owner(s).,https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,"I was 37 then, strapped in my seat as the huge 747 plunged through dense cloud cover on approach to Hamburg airport. Cold November rains drenched the earth, lending everything the gloomy air of a Flemish landscape: the ground crew in waterproofs, a flag atop a squat airport building, a BMW billboard. So - Germany again. Once the plane was on the ground, soft music began to flow from the ceiling speakers: a sweet orchestral cover version of the Beatles' ""Norwegian Wood"". The melody never failed to send a shudder through me, but this time it hit me harder than ever.",https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,Fun fact : they produce this song after visiting to India and you can feel Indian touch in this music  ,https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,I think most of the people here after reading one of Murakami's greatest work.,https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,"this is a excellent fusion of western and ancient indian music..
what you hear is santoor music ...
santoor is 4 th century indian music instrument..
appreciate it lads..",https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,"Hearing this song after finishing haruki murakami's Norweigan wood would never be the same as the time i listen to it the first time it was mentioned in the book. You'll close your eyes and see Watanabe, Naoko and reiko playing her guitar.  ",https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,"Great book, Murakami!! I love ""Norwegian Wood""!
Midori!!!! ️",https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,I was not feeling well. I started reading Norwigian Wood. I feel enlightened now. Such great author Murakami is. Beautiful book.,https://www.youtube.com/watch?v=HnN4f73yvno
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,The thing I always hated about this song is that it is way too short. I Wish it was way longer. =..(,https://www.youtube.com/watch?v=HnN4f73yvno
