title,artist,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
Oblivion,Grimes,0.05265858480144195,0.044603974068259784,0.10463298567290165,0.055230083486386,0.05634670534880618,0.1573437067134546,0.08902556749195406,0.08488502238502238,0.034555424733996164,0.08262270720253914
Dreams Tonite,Alvvays,0.04464341964341964,0.01175963675963676,0.07611279486279486,0.033185796053443115,0.040985875544699076,0.18793286072697837,0.045688942747766276,0.019360210536681126,0.016234328734328732,0.11500522529934294
Motion Sickness,Phoebe Bridgers,0.059458004741919736,0.043313268740724414,0.12346294167466416,0.07395897342069589,0.0347783493804462,0.14369682409718998,0.09204729875465874,0.05460797027606767,0.03533648369174685,0.08933988522188635
Dont Delete The Kisses,Wolf Alice,0.044625548756515705,0.02191260391994786,0.07265785237021466,0.11155007556476346,0.03994868067695485,0.1914711642679819,0.06408372895520999,0.055273987311931005,0.017711378788490172,0.12495102589961832
Masterpiece,Big Thief,0.022223042109405743,0.01775875639512003,0.07315525383707201,0.0972525580480126,0.021583530106257378,0.22976928374655647,0.04165436835891381,0.021881149153876428,0.013970877607241243,0.18802390791027151
Seasons (Waiting On You),Future Islands,0.07280701754385965,0.04384920634920635,0.11087820561504771,0.05390369864054075,0.03467570441254652,0.1594712792081213,0.07631927039821777,0.028156565656565657,0.021230158730158728,0.13680413154097365
Victoria Falls,Flyte,0.005813953488372093,0.00872093023255814,0.06058224721015419,0.06639620069852628,0.0157871198568873,0.10403782264247381,0.04622412471249681,0.017178848283499446,0.009056350626118068,0.08480705341170457
Avant Gardener,Courtney Barnett,0.053656462585034016,0.019794028722600148,0.042552020808323335,0.09026332755324351,0.01979847494553377,0.29918912009248144,0.050550220088035204,0.05649315281668223,0.010770975056689343,0.09502745542661509
"Archie, Marry Me",Alvvays,0.037642141496096876,0.015813049357674105,0.08870423299936485,0.037434472221490475,0.05430192975831921,0.1612641190227397,0.061187980939502236,0.023247689880549923,0.011868942979490647,0.11637857859967393
Let It Happen,Tame Impala,0.06841257013670807,0.035082790994121045,0.11211630072467511,0.08586467804448099,0.027366204706106186,0.15891009868842382,0.09416647624775704,0.08824649237210813,0.02786618439327799,0.08768248940662733
Shelter,Broken Bells,0.016807610993657504,0.01624383368569415,0.08252290345313601,0.04804439746300211,0.030972515856236785,0.15926708949964763,0.06504580690627203,0.0538231148696265,0.007928118393234674,0.07748414376321353
Should Have Known Better,Sufjan Stevens,0.01607810276016565,0.01669038279901723,0.08493337680790197,0.07393790924092088,0.02102729757750204,0.19162520487091017,0.04346990453425914,0.046628108111936566,0.015341176449810881,0.13471298129201992
Inside Out,Spoon,0.02659905643831773,0.005903398926654741,0.10057970415357555,0.07568725164484398,0.03056234121555599,0.2166015243306625,0.03828797171820428,0.02044799136112406,0.005647840531561462,0.13084571037717413
"Eat, Sleep, Wake (Nothing But You) - Single Version",Bombay Bicycle Club,0.018777056277056278,0.01966089466089466,0.08015318015318015,0.05567765567765568,0.01046037296037296,0.13465839715839717,0.046406371406371404,0.038830613830613835,0.01259018759018759,0.08278527028527029
Valleys (My Love),Whitney,0.019024967280781235,0.006765327695560253,0.09381238916122638,0.033872458291062946,0.010087586831772879,0.20471285820123028,0.042488841907446555,0.04719118091211114,0.0021141649048625794,0.1445813876046434
Summer Girl - Bonus Track,HAIM,0.03856220939554273,0.006220939554272888,0.10342379181664896,0.083699765842623,0.03327017999637047,0.2021261696856935,0.036685591745115556,0.0630945223207128,0.004056437389770723,0.14314610653896367
Red Eyes,The War On Drugs,0.014247136436131652,0.014247136436131652,0.11851333309168237,0.07094721134792904,0.02290715166014209,0.12280777270310762,0.02848037794210043,0.047991276400367315,0.008505509641873278,0.09680763979507999
Brazil,Declan McKenna,0.01043554313903151,0.01471106412966878,0.03317309305681399,0.1012934578341555,0.023168982180610087,0.09542769891607102,0.029058022081277893,0.028069733883687373,0.003052325581395349,0.05695891640659083
Hell N Back,Bakar,0.03355662285136502,0.029110658419080473,0.13118192829725572,0.05622883571420418,0.041962817544212896,0.22649575150095583,0.06952442082326696,0.052966324716607234,0.011463599595551061,0.11495090100261693
When Am I Gonna Lose You,Local Natives,0.033399794177975166,0.05213701266430222,0.12182374846728285,0.0750079632107248,0.03320063777676182,0.17060428110997083,0.08720776828993437,0.058704718202283214,0.03134276473257138,0.10401317183330959
Bags,Clairo,0.05630239573468028,0.026576381894439352,0.0704979964555888,0.06629827840498154,0.01350346340086422,0.16485552181516613,0.10768103305723004,0.08026920070353721,0.024291577095954663,0.08739857004220888
Positive Force,Delicate Steve,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,0.028508528508528506,0.027065527065527065,0.042626355126355125,0.07214775964775964,0.0,0.21550671550671546,0.06701862951862951,0.028589466089466088,0.011914011914011913,0.142986642986643
Bros,Wolf Alice,0.013783753210630679,0.0191699604743083,0.11388856055878108,0.10122144584972234,0.02051225244160027,0.23267232540167845,0.0622363527995939,0.030819095814155106,0.013446054750402576,0.14225019869912733
oh baby,LCD Soundsystem,0.033107864357864364,0.011553850190213827,0.06926160960251869,0.10215712317985046,0.02434327036599764,0.22055211202938477,0.02993982028072937,0.11087498360225632,0.008356290174471993,0.13985307621671259
Funeral Singers,Sylvan Esso,0.014211886304909561,0.0033222591362126242,0.061037283130306375,0.10913159837578441,0.018987633813215207,0.23282576596530083,0.02350959763750461,0.03299187892211148,0.009205426356589146,0.14593946105574013
Feels Like We Only Go Backwards,Tame Impala,0.021875125341511897,0.024195711695711695,0.07438008031495426,0.10136130015331696,0.03475614993472136,0.22065560684258165,0.07520389274590955,0.053423603318561295,0.013617972441501853,0.11862579530646758
Road Head,Japanese Breakfast,0.02999243839164787,0.03064317654238603,0.07544702771975499,0.04742969481111774,0.010679208801738444,0.15918182059486408,0.08029882392530614,0.054599923572255585,0.013320885307051316,0.11204336397024144
