title,artist,comments,url
What I've Done,Linkin Park,"SG
SKIP NAVIGATION
SIGN IN
#OfficialMusicVideo #LinkinPark #WhatIveDone
What I've Done [Official Music Video] - Linkin Park
559,036,597 views
3.1M
DISLIKE
SHARE
SAVE
Linkin Park
18.9M subscribers
SUBSCRIBE
Watch the official music video for What I've Done by Linkin Park from the album Minutes to Midnight.
Stream: https://apple.co/2OclsoP
SHOW MORE
Buy Linkin Park merchandise
SGD 41.13
Merchbar
SGD 41.13
Merchbar
SGD 58.20
Merchbar
SGD 47.99
Merchbar
SGD 44.62
Merchbar
143,861 Comments
SORT BY
Add a comment...
The Perfect Gaming Zone
4 years ago
Music is the closest thing we have to a time machine...
20K
REPLY
View 194 replies
Obito Uchiha
2 weeks ago
Chester left us too soon, I think heaven was in need of its biggest star
745
REPLY
View 11 replies
Ash Ketchum
1 month ago
With the war in Ukraine going on, this song sounds strong right now, time passes but the problems of the world seem the same
1K
REPLY
View 26 replies
A!999
1 month ago
I am optimus prime and I send this message to all the surviving autobots who take refuge among the stars,  we are here and we are waiting...
9
REPLY
Eric Bischoff
1 day ago (edited)
He didn't just saved millions, he saved billions. RIP Legend (Chester) :'(
3
REPLY
Jhesenia Ch
1 month ago
Este fue el  primer video que vi de linkin park en mtv y quede enamorada de este grupo  que buenos tiempos de adolescencia ahora estamos 2022  ya tengo 30 y regrese a disfrutar de la buena música de mis tiempos  shester donde estés descansa en paz .
16
REPLY
Jasveen Singh Gill
9 months ago
“One person can save millions, but sometimes, millions can’t save one person”



           RIP CHESTER :(
3.4K
REPLY
View 33 replies
Echo CT-1409
1 month ago (edited)
This song has great relevance with everything that’s been transpiring recently in the world.
376
REPLY
View 8 replies
Monika Bylicka-Sumara
1 month ago
Jako nauczycielka geografii jak będę miała lekcję o degradacji środowiska to będę uczniom puszczać tą piosenkę ️ ja czuję w niej przesłanie!
28
REPLY
View 2 replies
Michael Myers
2 weeks ago
Best band ever ️
6
REPLY
Marius Baranauskas
2 weeks ago
Timeless track and video. 2007 - 2022 or 2050 it wont change who we are
60
REPLY
Alex Fehimova
1 month ago
Doesn't matter how many years have past Chester will always be in our hearts ️️️
27
REPLY
kenny
1 year ago
Chester and Linkin Park will never be forgotten no matter what
943
REPLY
View 29 replies
Gabriel Ibarra
1 month ago
Se acerca el fin y está canción seguirá sonando hasta el final de los tiempos.
69
REPLY
View reply
Pyromagic
1 month ago
As Chester says, let’s mercy come and wash away what we’ve done. The lords forgiveness is a free gift because he payed the price for our wrong doings so we don’t have to pay for them instead. Repent and ask for forgiveness. Love you all
53
REPLY
View 4 replies
Sebastian Garcia
1 month ago
This music video is horrific and breathtaking. It’s an absolute masterpiece.
175
REPLY
View 2 replies
Priscila Melo
1 month ago
Alguém mais escutando essa música hoje...? Nunca fez tanto sentido :'(
19
REPLY
View reply
365 MOTO Vlog
11 days ago
It's been 15 years and I'm still listening to this masterpiece 
2
REPLY
Stan East
2 years ago
""When my time comes forget the wrong that I've done.""
- Chester Bennington
       (1976 - 2017)
2.8K
REPLY
View 30 replies
Ивайло
13 days ago
Great Song with a Great Clip ... Rest in Peace ..Chester !!!
20
REPLY
Apocalypse 312
1 year ago
It sucks Chester is gone but I’m glad he doesn’t have to see the world the way it is today
1.4K
REPLY
View 29 replies
Let’s go Brandon
1 month ago
I listen to this on repeat, because I just miss Chester, RIP Chester
2
REPLY
User Of google
2 months ago
Потрясающий трек, потрясающий клип. Так тепло и немного грустно.
23
REPLY
Abi
12 days ago
Eu amo está música
28
REPLY
View 4 replies
El Torro
1 month ago
Ukraine we're with you, stay strong!
46
REPLY
Nam Sơn Trịnh
1 month ago
RIP Chester Bennington, you are such a legend. People pass away but their work is an eternal masterpiece...
46
REPLY
Allen Badillo
7 months ago
The year is 2007:
Optimus Prime just got done delivering one of the most epic speeches you’ve ever heard, your 6 year old self stands up to leave the theater while this absolute masterpiece blasts through the stereo speakers, and Chester is still alive and well.
Read more
2.7K
REPLY
View 72 replies
The World of Luigi n.n
1 month ago
I DONT know you guys, im a U.S Soldier right now and now listening this song while watching what is going on in Ucrania just got me the chills, let human and land by land be in peace between each other.... war is not the answer!!!
65
REPLY
View 5 replies
Professor Isk
1 month ago
The current situation between Russia and Ukraine made me remember this legendary clip. This is a rare case where we can see the problems of humanity instead of women's butts in a music video.
267
REPLY
View 7 replies
Abdurahman abdul aziz
1 month ago
14 years ago and even this song still has a fresh meaning with the current state of affairs
54
REPLY
Bernardo Junior
1 month ago
No 3° ano do ensino médio apresentamos essa música na amostra de História e Geografia e fomos campeões.
79
REPLY
View 2 replies
TheMainBassBooster
1 month ago
Transformers 
57
REPLY
View 2 replies
Bulma Bunny
3 years ago
I miss him so much
3K
REPLY
View 51 replies
Khalil Williams
1 month ago
Chester.. we love you . And as a black kid who grew up loving rap music and R&B… Linkin Park was still in every playlist & mixtape I ever made. You are a certified HOOD LEGEND WE LOVE YOU NOW AND FOREVER BRO! WATCH OVER US!!!!!!
28
REPLY
Cameron M. Hatter
10 days ago
15 years and it sounds even better with time
3
REPLY
Reyhansky
1 month ago
No words...just amazing
8
REPLY
View reply
Shaan Singh
1 month ago
Imagine how many more clips they would have to put in this music video if it were made after the disasters of 2020-2022 (and probably after this year too!)
30
REPLY
View reply
Daniel Pra
4 weeks ago
A band who have changed the people who listened. I miss the voice of Chester :(
3
REPLY
Delia Enriquez
4 years ago
I saw Linkin Park trending on Twitter yesterday, and I thought maybe they had released a new song. So curious me clicked the link and realized they were trending because Chester died. It felt like my world just stopped. His music helped me get through middle school and High School. His voice was special. And it's a shame that he had so much pain that he thought suicide was the answer. I hope he's at peace now, but I am really going to miss hearing him sing.
Read more
704
REPLY
View 8 replies
Tynatious Devaughn
2 months ago
Great song never forgotten 
1
REPLY
4:29
New Divide [Official Music Video] - Linkin Park
Linkin Park
518M views
12 years ago
Mix - Linkin Park
YouTube
1:47:46
Linkin Park Best Songs 🔥🔥🔥 Linkin Park Greatest Hits Full Album - In The End, Numb, New Divide 🔥
Music Library
5.3M views
5 months ago
Mix - What I've Done [Official Music Video] - Linkin Park
YouTube
3:07
Numb [Official Music Video] - Linkin Park
Linkin Park
1.7B views
15 years ago
3:35
What I've Done [Official Live in Red Square 2011] - Linkin Park
Linkin Park
49M views
10 years ago
1:22:03
Alternative Rock Of The 2000s 2000 - 2009 Linkin Park, Creed, 3 Doors Down, Nirvana
Alternative Rock Music 90's
12M views
1 year ago
5:07:34
LINKIN PARK - Ultimate Continuous MIX (2022)
shtreebun
22K views
3 months ago
4:50
CASTLE OF GLASS [Official Music Video] - Linkin Park
Linkin Park
526M views
9 years ago
5:26
Green Day - 21 Guns [Official Music Video]
Green Day
423M views
12 years ago
3:39
In The End [Official HD Music Video] - Linkin Park
Linkin Park
1.3B views
12 years ago
2:09:57
Two Steps From Hell & Thomas Bergersen - 36 Tracks Best of All time | Most Powerful Epic Music Mix
Epic Music Mania
4.1M views
1 year ago
6:38
Linkin Park - Rolling In The Deep (iTunes Festival 2011) HD
PhoenixLP 220
54M views
7 years ago
1:47:54
Linkin Park Best Hits 2022🔥🔥Park Greatest Hits Full Album🔥In The End, Numb, New Divide Linkin
Music Library
276K views
1 month ago
3:45
Somewhere I Belong [Official Music Video] - Linkin Park
Linkin Park
240M views
15 years ago
4:48
Green Day - Boulevard Of Broken Dreams [Official Music Video]
Green Day
620M views
9 years ago
37:46
Linkin Park Hybrid Theory 2000 [Full Album]
Music Hall Top Rock
5.7M views
2 years ago
5:29
New Divide [Official Live in Red Square 2011] - Linkin Park
Linkin Park
116M views
10 years ago
3:25
Leave Out All The Rest [Official Music Video] - Linkin Park
Linkin Park
191M views
13 years ago
4:20
Disturbed - The Sound Of Silence [Official Music Video]
Disturbed
802M views
6 years ago
3:54
BURN IT DOWN [Official Music Video] - Linkin Park
Linkin Park
333M views
9 years ago
1:43:11
Linkin Park Best Songs💥Numb, In The End, New Divide💥💥Linkin Park Greatest Hits Full Album 2022
Music Library
2.6M views
4 months ago
4:27
Bon Jovi - It's My Life (Official Music Video)
Bon Jovi
1.1B views
12 years ago
11:08
What Chester Bennington's Final Months Were Like
Grunge
907K views
1 year ago
4:14
Evanescence - Bring Me To Life (Official Music Video)
Evanescence
1B views
12 years ago
3:48
Skillet - ""Feel Invincible"" [Official Music Video]
Skillet
255M views
5 years ago
4:28
Linkin Park - What I've Done (Lyrics)
RIFFTASTIC
96K views
3 days ago
New
3:37
Crawling [Official HD Music Video] - Linkin Park
Linkin Park
348M views
12 years ago
1:42:53
Linkin Park Best Songs | Linkin Park Greatest Hits Full Album
Classic Rock
832K views
11 months ago
4:11
Hoobastank - The Reason (Official Music Video)
Hoobastank
858M views
12 years ago
1:13:58
Linkin Park New Hits 2022🔥🔥Park Greatest Hits Full Album🔥In The End, Numb, New Divide Linkin
Alternative Rock Music
45K views
4 weeks ago
Faint [Official Music Video] - Linkin Park
Linkin Park
347M views
12 years ago
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
Wiz Khalifa
5.4B views
7 years ago
1:12:05
Linkin Park - Greatest Hits Vol. 1
Jorge Gonzalez
13M views
2 years ago
4:39
Nirvana - Smells Like Teen Spirit (Official Music Video)
Nirvana
1.4B views
12 years ago
4:03
Transformers - What Ive Done Linkin Park (Music Video HD)
KevinGame2
3.7M views
4 years ago
4:24
Linkin Park Live in Madrid - New Divide
Romanchus1
438K views
10 years ago
4:32
Fall Out Boy - Centuries (Official Music Video)
Fall Out Boy
390M views
7 years ago
1:16:42
Linkin Park Best Songs 2022💥💥Linkin Park Greatest Hits Full Album - Numb, In The End, New Divide
Alternative Rock Music
174K views
2 months ago
4:31
One More Light [Official Music Video] - Linkin Park
Linkin Park
228M views
4 years ago
1:45:12
Linkin Park Greatest Hits Full Album Ever🔥Linkin Park Best Hits 2022🔥In The End, Numb,What I've Done
Music Library
48K views
2 weeks ago
3:13
Papercut [Official HD Music Video] - Linkin Park
Linkin Park
218M views
15 years ago
1:43:22
Power Ballads From Hair Bands | Slow Rock 80s 90s | The Best Rock Songs of 80s, 90s Playlist
Zaka HAQ
1M views
1 year ago
5:04
Final Masquerade [Official Music Video] - Linkin Park
Linkin Park
115M views
7 years ago
3:55
Waiting For The End [Official Music Video] - Linkin Park
Linkin Park
212M views
11 years ago
The Catalyst [Official Music Video] - Linkin Park
Linkin Park
214M views
11 years ago
From The Inside [Official Music Video] - Linkin Park
Linkin Park
126M views
12 years ago
Linkin Park New Songs 2022💥💥Linkin Park Greatest Hits Full Album - Numb, In the End, New Divide
Music Library
900K views
4 months ago
The Cranberries - Zombie (Official Music Video)
TheCranberriesTV
1.2B views
12 years ago
Bleed It Out [Official Music Video] - Linkin Park
Linkin Park
124M views
14 years ago
System Of A Down - Toxicity (Official HD Video)
System Of A Down
651M views
12 years ago
Alternative Rock Of The 2000s 2000 - 2009 Linkin Park, Creed, 3 Doors Down, Nirvana
Alternative Rock Music 90's
7.2M views
11 months ago
Eminem - Not Afraid (Official Video)
EminemMusic
1.6B views
11 years ago
Alan Walker - Faded
Alan Walker
3.2B views
6 years ago
Linkin Park feat. Jay-Z - Numb/Encore (Collision Course 2004)
PhoenixLP 220
72M views
7 years ago
Heavy [Official Music Video] - Linkin Park (feat. Kiiara)
Linkin Park
184M views
5 years ago
Linkin Park Greatest Hits Full Album🔥Linkin Park Best Hits 2022🔥In The End, Numb, New Divide🔥
Music Library
168K views
1 month ago
Red Hot Chili Peppers - Californication [Official Music Video]
Red Hot Chili Peppers
935M views
12 years ago
Guns N' Roses - Sweet Child O' Mine (Official Music Video)
Guns N' Roses
1.3B views
12 years ago
Linkin Park - Numb (Telekom Street Gigs Berlin 2012) HD
PhoenixLP 220
3.5M views
7 years ago",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,"Watch the official music video for What I've Done by Linkin Park from the album Minutes to Midnight.
Stream: https://apple.co/2OclsoP",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,Music is the closest thing we have to a time machine...,https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,"Chester left us too soon, I think heaven was in need of its biggest star",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,"With the war in Ukraine going on, this song sounds strong right now, time passes but the problems of the world seem the same",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,"I am optimus prime and I send this message to all the surviving autobots who take refuge among the stars,  we are here and we are waiting...",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,"He didn't just saved millions, he saved billions. RIP Legend (Chester) :'(",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,Este fue el  primer video que vi de linkin park en mtv y quede enamorada de este grupo  que buenos tiempos de adolescencia ahora estamos 2022  ya tengo 30 y regrese a disfrutar de la buena música de mis tiempos  shester donde estés descansa en paz .,https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,"“One person can save millions, but sometimes, millions can’t save one person”



           RIP CHESTER :(",https://www.youtube.com/watch?v=8sgycukafqQ
What I've Done,Linkin Park,This song has great relevance with everything that’s been transpiring recently in the world.,https://www.youtube.com/watch?v=8sgycukafqQ
