title,artist,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
What I've Done,Linkin Park,0.04604642773247425,0.006816084432363502,0.07144241417497231,0.051024363233665555,0.007608896271686969,0.11684452498405987,0.06795949528507667,0.043186432430618475,0.006816084432363502,0.07062737004597469
Can't Stop,Red Hot Chili Peppers,0.048010987340672696,0.024255414747890804,0.10284454867218205,0.05053600450317277,0.029347374012216692,0.13048961981930518,0.07132292392210314,0.049767324938323566,0.019452253173183404,0.07862471166164738
Boulevard of Broken Dreams,Green Day,0.03601133714770079,0.02131895881895882,0.027336110858838136,0.06523211636848,0.019209389095752732,0.14062837415110144,0.03691239316239316,0.06756740734013461,0.013111888111888114,0.07267202494475221
Hysteria,Muse,0.02672606911827632,0.03956589548034085,0.0965696854430525,0.03006527880234744,0.010210764467730412,0.19283179945227819,0.08802797607637901,0.03792792321826528,0.02750320924261874,0.10910798406456491
Chop Suey!,System Of A Down,0.014052287581699345,0.01410286336756925,0.11113056333644569,0.08921179582944289,0.01587690631808279,0.11434407096171802,0.02396514161220044,0.015059912854030499,0.00718954248366013,0.04604730781201369
Seven Nation Army,The White Stripes,0.016500553709856033,0.018438538205980067,0.05939461055740125,0.06120339608711703,0.01727574750830565,0.09562569213732003,0.10897009966777409,0.010778885197489848,0.012624584717607973,0.04104835732742709
How You Remind Me,Nickelback,0.030381339527680993,0.047639284834406784,0.053687572590011605,0.03307288917045015,0.012291908633372048,0.1250043993946433,0.07934660190757752,0.030943582163094358,0.018563685636856366,0.03248337028824834
Mr. Brightside,The Killers,0.027940297821490944,0.031451321681352014,0.10365656980924928,0.12346579804871008,0.02012376035379069,0.2581007900648952,0.09084677119308059,0.07308654860474881,0.010604145601617794,0.09793329914664596
Kryptonite,3 Doors Down,0.037508481442304974,0.015113936988936988,0.09816449209831563,0.07209862577509636,0.03391149972032325,0.19558644650556414,0.0871512406438877,0.04692105960488314,0.011461339586339587,0.10662833217980276
"Sugar, We're Goin Down",Fall Out Boy,0.017952093930670626,0.018596439516614213,0.09575894206381197,0.07538213818191491,0.029969590323167018,0.211029924359225,0.0515264146773704,0.056925225071127586,0.016566131355191922,0.09816810052090634
Dani California,Red Hot Chili Peppers,0.01320109439124487,0.018256139665168394,0.08015601589472998,0.0949720973660782,0.024884372353592598,0.21949167263804745,0.01764705882352941,0.037363472520791266,0.00253077975376197,0.11940427333724185
Misery Business,Paramore,0.037337662337662336,0.018977591036414564,0.11027183600713014,0.05990896358543418,0.022738413547237078,0.16466609371021135,0.075,0.03601190476190476,0.018777056277056278,0.0926741151005857
Holiday,Green Day,0.03333333333333333,0.03074074074074074,0.04829211819407898,0.05504102651161475,0.014489337822671157,0.22964193758311405,0.03891067538126362,0.03677196804647785,0.018899782135076256,0.1161013024738515
Last Resort,Papa Roach,0.02115171650055371,0.0369139904023625,0.04625322997416021,0.0779438907345884,0.01627906976744186,0.1515688445921004,0.057290513104466596,0.022148394241417495,0.014211886304909561,0.06786637135474344
In the End,Linkin Park,0.018527528103451495,0.01130219529672334,0.0820001703722634,0.030132635262594226,0.015110060937694318,0.12779657642858736,0.028393630992810198,0.031715890129022824,0.0033059735522115823,0.07031999008743195
I Miss You,blink-182,0.029533093599589763,0.039608344435710166,0.08922925137758898,0.06263117270150519,0.016688335582197473,0.10507589999277979,0.07689610995237595,0.054543244952452115,0.01090916164445576,0.0639049936044821
Teenagers,My Chemical Romance,0.0259448223733938,0.038624338624338624,0.09084782060972536,0.09441924918115395,0.027973041068279164,0.1660614958234006,0.05006105006105006,0.025741322169893596,0.015903540903540903,0.08347093823284298
Californication,Red Hot Chili Peppers,0.013730158730158728,0.031878306878306874,0.021851851851851848,0.04296296296296296,0.009656084656084656,0.1492857142857143,0.03338624338624339,0.03148148148148148,0.0018518518518518517,0.06391534391534391
"You're Gonna Go Far, Kid",The Offspring,0.013815939495287321,0.03473774660780589,0.09107203731709661,0.09262720563362857,0.02799148315452664,0.16185131979351344,0.037768049638108925,0.028227117085812735,0.015283695224406686,0.08753449695890407
Toxicity,System Of A Down,0.024063529974860023,0.018174974086304134,0.04808416587973239,0.05707345701188065,0.045668828981636864,0.22694958754072053,0.051613572980568054,0.0617585342954801,0.022665311335262076,0.11061470458022184
The Kill (Bury Me),Thirty Seconds To Mars,0.03532668881506091,0.025968992248062015,0.06669435215946844,0.07464008859357697,0.02774086378737542,0.13870431893687707,0.0459579180509413,0.031229235880398675,0.008333333333333333,0.05703211517165006
"Dance, Dance",Fall Out Boy,0.024413990402362497,0.02024732373569583,0.10059338356461979,0.06668000162492206,0.05530927830499433,0.13777780427107233,0.05781775174370033,0.04472591362126246,0.015831487633813215,0.10451004184174319
The Middle,Jimmy Eat World,0.01964914406774872,0.039841255538929955,0.08294610794610793,0.08376602969626225,0.02654399340445852,0.17164859025324142,0.07276994951413555,0.054053399983632545,0.021373776024938815,0.10182635822170708
I Write Sins Not Tragedies,Panic! At The Disco,0.02339087809036658,0.020833333333333332,0.133578431372549,0.07466356107660455,0.022325234441602726,0.12850140056022408,0.03772378516624041,0.02973145780051151,0.020673486786018755,0.03031756180733163
Take A Look Around,Limp Bizkit,0.010923005565862709,0.04679189857761286,0.06221397649969078,0.03290300968872398,0.014015151515151515,0.12886260564831992,0.08054782519068233,0.03076427540713255,0.02153937332508761,0.07143887858173573
